#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
	PDT000242493.1	USA: Nebraska	feces	environmental/other				SAMN07488860	GCA_002319135.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2000-10-16
	PDT000242500.1	USA: Ohio	feces	clinical				SAMN07488843	GCA_002319275.1	aadA1=COMPLETE,blaEC=COMPLETE,sat2=COMPLETE,tet(B)=COMPLETE	2014
	PDT000250698.1	USA: Ohio	feces	clinical				SAMN07488851	GCA_002494445.1	blaEC=COMPLETE	2014
	PDT000252531.1	USA:MN	feces	environmental/other				SAMN05439422	GCA_002538315.1	blaEC=COMPLETE	2010-03-05
E. coli O103:Undetermined	PDT000126250.2	USA	stool	clinical				SAMN04867227		blaEC=COMPLETE	2015-07
E. coli O45:Undetermined	PDT000137687.2	USA	stool	clinical				SAMN05331357		blaEC=COMPLETE	2016-01
	PDT000252599.1	USA:PA	feces	clinical				SAMN05439458	GCA_002542995.1	blaEC=PARTIAL	2010-03-12
	PDT000242515.1	USA: Ohio	feces	clinical	PDS000044732.1		30	SAMN07488847	GCA_002319565.1	blaEC=COMPLETE,cyaA_S352T=POINT	2014
	PDT000488259.1	USA: Iowa	feces	environmental/other	PDS000044732.1		30	SAMN08810289	GCA_004767015.1	blaEC=COMPLETE,cyaA_S352T=POINT	2000-10-17
	PDT000281625.2	USA:MI	stool	clinical				SAMN08102359	GCA_012265665.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,marR_S3N=POINT,parE_D475E=POINT	2008
	PDT000829708.1	USA:WA	stool	environmental/other				SAMN16054343	GCA_014473995.1	blaEC=COMPLETE,parE_D475E=POINT	2019-09-30
	PDT000242508.1	USA: Ohio	feces	clinical	PDS000015999.33	7		SAMN07488850	GCA_002319435.1	blaEC=COMPLETE	2014
	PDT000242517.1	USA: Ohio	feces	clinical	PDS000015999.33	7		SAMN07488845	GCA_002319625.1	blaEC=COMPLETE	2014
Undetermined:Undetermined	PDT000131101.3	USA	stool	clinical				SAMN05001425	GCA_012898445.1	aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2016-04
	PDT000151015.3	USA	stool	clinical				SAMN05856130	GCA_012583675.1	blaEC=COMPLETE,erm(B)=COMPLETE,tet(B)=COMPLETE	2015-09-17
	PDT000242495.1	USA: Minnesota	feces	environmental/other				SAMN07488861	GCA_002319165.1	aadA1=COMPLETE,aph(3')-IIa=COMPLETE,aph(6)-Ic=COMPLETE,blaEC=COMPLETE,ble=COMPLETE,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2001-02-06
	PDT000242498.1	USA: Iowa	feces	environmental/other				SAMN07488857	GCA_002319235.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2000-10-02
	PDT000673232.1	USA: St Louis	stool	clinical	PDS000056068.1	14		SAMN11335360	GCA_012645185.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,tet(A)=COMPLETE,tet(A)=PARTIAL_END_OF_CONTIG	2017/2018
	PDT000228319.1	USA:TX	feces	environmental/other				SAMN04279447	GCA_002232155.1	blaEC=COMPLETE	2006-03-09
	PDT000228349.1	USA:CA	feces	environmental/other				SAMN04279407	GCA_002232755.1	blaEC=COMPLETE	2004-02-18
E. coli O103:Undetermined	PDT000131121.2	USA	stool	clinical				SAMN04885467		blaEC=COMPLETE	2015-11
E. coli O103:Undetermined	PDT000134071.2	USA	stool	clinical				SAMN05033863		blaEC=COMPLETE	2014-08
E. coli O103:Undetermined	PDT000135791.2	USA	stool	clinical				SAMN05273161		blaEC=COMPLETE	2013-07
E. coli O103:Undetermined	PDT000135792.2	USA	stool	clinical				SAMN05273162		blaEC=COMPLETE,uhpT_E350Q=POINT	2014-11
	PDT000248853.1	USA:CO	feces	environmental/other				SAMN04279397	GCA_002464685.1	blaEC=COMPLETE	2003-10-17
	PDT000251743.1	USA: CO	feces	clinical				SAMN06240042	GCA_002517555.1	blaEC=COMPLETE	2003-10-17
	PDT000252555.1	USA:AK	feces	environmental/other				SAMN05439512	GCA_002540405.1	blaEC=COMPLETE	2011-08-15
	PDT000252585.1	USA:MI	feces	environmental/other				SAMN05439476	GCA_002542255.1	blaEC=COMPLETE	2010-05-18
	PDT000252596.1	USA:PA	feces	clinical				SAMN05439456	GCA_002542865.1	blaEC=COMPLETE	2010-03-12
	PDT000252598.1	USA:PA	feces	clinical				SAMN05439455	GCA_002542845.1	blaEC=COMPLETE	2010-03-12
	PDT000252601.1	USA:PA	feces	clinical				SAMN05439459	GCA_002543075.1	blaEC=COMPLETE	2010-03-12
	PDT000228348.1	USA:CO	feces	environmental/other				SAMN04279403	GCA_002232735.1	blaEC=COMPLETE	2003-10-17
	PDT000228365.1	USA:CO	feces	environmental/other				SAMN04279400	GCA_002233075.1	blaEC=COMPLETE	2003-10-17
	PDT000228367.1	USA:CO	feces	environmental/other				SAMN04279399	GCA_002233095.1	blaEC=COMPLETE	2003-10-17
	PDT000228370.1	USA:CO	feces	environmental/other				SAMN04279398	GCA_002233175.1	blaEC=COMPLETE	2003-10-17
E. coli O103:H7	PDT000063313.2	USA	stool	clinical				SAMN03569556	GCA_012817995.1	blaEC=COMPLETE	2014-04
E. coli O103:H2	PDT000065505.2	USA	stool	clinical				SAMN03658776	GCA_012815495.1	blaEC=COMPLETE	2015-03
E. coli O103:H2	PDT000082145.2	USA	stool	clinical				SAMN03946162	GCA_012802915.1	blaEC=COMPLETE	2015-06
E. coli O145:HNT	PDT000083149.2	USA	stool	clinical				SAMN04045505	GCA_012801755.1	blaEC=COMPLETE	2015-07
E. coli O157:H7	PDT000120811.2	USA	stool	clinical				SAMN04578358	GCA_012711345.1	blaEC=COMPLETE	2008-06
E. coli O103:Undetermined	PDT000126256.2	USA	stool	clinical				SAMN04867233		blaEC=COMPLETE	2015-08
E. coli O45:Undetermined	PDT000126259.2	USA	stool	clinical				SAMN04867236		blaEC=COMPLETE,uhpT_E350Q=POINT	2015-08
E. coli O26:Undetermined	PDT000126260.2	USA	stool	clinical				SAMN04867237		blaEC=COMPLETE	2015-08
E. coli O26:Undetermined	PDT000135789.2	USA	stool	clinical				SAMN05273159		blaEC=COMPLETE,uhpT_E350Q=POINT	2013-07
	PDT000248813.1	USA: TX	feces	environmental/other				SAMN04279507	GCA_002463875.1	blaEC=COMPLETE	2008-01-24
	PDT000251722.1	USA: CA	feces	environmental/other				SAMN04279505	GCA_002517145.1	blaEC=COMPLETE	2008-01-10
	PDT000251742.1	USA: CO	feces	clinical				SAMN06240041	GCA_002517545.1	blaEC=COMPLETE,tet(C)=COMPLETE	2003-10-17
	PDT000252448.1	USA:PA	feces	environmental/other				SAMN04902889	GCA_002535155.1	blaEC=COMPLETE	2013-12-16
	PDT000252465.1	USA:NY	feces	environmental/other				SAMN05439571	GCA_002535485.1	blaEC=COMPLETE	2012-04-05
	PDT000252478.1	USA:MA	feces	environmental/other				SAMN04902853	GCA_002535905.1	blaEC=COMPLETE	2012-09-27
	PDT000252504.1	USA:AK	feces	environmental/other				SAMN05226141	GCA_002537165.1	blaEC=COMPLETE	2012-09-12
	PDT000252528.1	USA:PA	feces	clinical				SAMN05439453	GCA_002538175.1	blaEC=COMPLETE	2010-03-12
	PDT000252529.1	USA:PA	feces	clinical				SAMN05439460	GCA_002538205.1	blaEC=COMPLETE	2010-03-12
	PDT000252530.1	USA:PA	feces	clinical				SAMN05439421	GCA_002538255.1	blaEC=COMPLETE	2010-03-12
	PDT000252559.1	USA:MA	feces	environmental/other				SAMN05439482	GCA_002541045.1	blaEC=COMPLETE,tet(B)=COMPLETE	2011-04-06
	PDT000252580.1	USA:CA	feces	environmental/other				SAMN05439468	GCA_002542055.1	blaEC=COMPLETE	2010-06-24
E. coli O113:H21	PDT000300565.1	USA	stool	clinical				SAMN02991250	GCA_003018655.1	blaEC=COMPLETE	2013-01
	PDT000477882.1	USA	feces	environmental/other	PDS000040254.2	4		SAMN11077626	GCA_004344835.1	aadA1=COMPLETE,blaEC=COMPLETE,parE_D475E=POINT,sul1=COMPLETE,tet(A)=COMPLETE	2018-04-03
	PDT000242501.1	USA: Ohio	feces	clinical				SAMN07488846	GCA_002319295.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2014
	PDT000242521.1	USA: Ohio	feces	clinical				SAMN07488844	GCA_002319705.1	aadA1=COMPLETE,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,lnu(G)=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2014
	PDT000228363.1	USA:CO	feces	environmental/other	PDS000011594.3	3		SAMN04279401	GCA_002233035.1	blaEC=COMPLETE	2003-10-17
	PDT000228257.1	USA:CA	feces	environmental/other				SAMN04279516	GCA_002230875.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2008-06-05
E. coli O128:H12	PDT000041490.5	USA	stool	clinical				SAMN03019928	GCA_013069265.1	blaEC=COMPLETE	2012-04
E. coli O2:H104	PDT000046039.2	USA	stool	clinical				SAMN03265633	GCA_012828635.1	blaEC=COMPLETE	2014-11
E. coli O175:H52	PDT000051234.3	USA	stool	clinical				SAMN03387428	GCA_012824915.1	blaEC=COMPLETE	2015-02
E. coli O187:H52	PDT000063312.3	USA	stool	clinical				SAMN03569555	GCA_012817885.1	blaEC=COMPLETE	2013-07
E. coli O140:H32	PDT000096836.3	USA	stool	clinical				SAMN04279006	GCA_012770895.1	blaEC=COMPLETE	2015-10
E. coli O136:H12	PDT000096906.3	USA	stool	clinical				SAMN04287895		blaEC=COMPLETE,tet(A)=COMPLETE	2015-10
E. coli O103:Undetermined	PDT000098758.2	USA	stool	clinical				SAMN04192190	GCA_012764795.1	blaEC=COMPLETE	2015-08
E. coli O136:H12	PDT000112501.3	USA	stool	clinical				SAMN04523392		blaEC=COMPLETE,tet(A)=COMPLETE	2016-02
E. coli Orough:H21	PDT000124974.3	USA	stool	clinical				SAMN04621660	GCA_012705545.1	blaEC=COMPLETE	2015-07
E. coli O45:	PDT000134067.2	USA	stool	clinical				SAMN05033858		blaEC=COMPLETE,marR_S3N=POINT	2014-04
E. coli O111:NM	PDT000151507.2	USA	stool	clinical				SAMN04913830	GCA_012581735.1	blaEC=COMPLETE	2013-01
E. coli O84:NM	PDT000190718.3	USA	stool	clinical				SAMN04221174		blaEC=COMPLETE,blaEC=MISTRANSLATION	2015-07
E. coli O103:Undetermined	PDT000190724.2	USA	stool	clinical				SAMN04633640		blaEC=COMPLETE	2015-05
	PDT000248829.1	USA: PA	feces	environmental/other				SAMN04902888	GCA_002464205.1	blaEC=COMPLETE	2013-12-16
	PDT000250041.1	USA: TX	feces	environmental/other				SAMN04279486	GCA_002475055.1	blaEC=COMPLETE	2007-08-24
	PDT000251721.1	USA: TX	feces	environmental/other				SAMN04279509	GCA_002517125.1	blaEC=COMPLETE	2008-01-24
	PDT000252463.1	USA:TX	feces	environmental/other				SAMN05439569	GCA_002535455.1	blaEC=COMPLETE	2012-04-20
	PDT000252624.1	USA:TX	feces	environmental/other				SAMN05439398	GCA_002544275.1	blaEC=COMPLETE	2009-04-22
	PDT000252673.1	USA:PA	feces	environmental/other				SAMN04902871	GCA_002546815.1	blaEC=COMPLETE,tet(B)=COMPLETE	2013-06-12
	PDT000673146.1	USA: St Louis	stool	clinical	PDS000056071.1	1		SAMN11335439	GCA_012645925.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT	2017/2018
	PDT000673147.1	USA: St Louis	stool	clinical	PDS000056071.1	1		SAMN11335438	GCA_012645965.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT	2017/2018
	PDT000673228.1	USA: St Louis	stool	clinical	PDS000056065.2	19		SAMN11335364		aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000242506.1	USA: Midwest	feces	clinical	PDS000015998.1	0		SAMN07488867	GCA_002319375.1	aadA1=COMPLETE,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2011
	PDT000242509.1	USA: Midwest	feces	clinical	PDS000015998.1	0		SAMN07488866	GCA_002319455.1	aadA1=COMPLETE,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2011
	PDT000242519.1	USA: Midwest	feces	clinical	PDS000016000.1	1		SAMN07488870	GCA_002319645.1	aadA1=COMPLETE,aadA2=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	2011
	PDT000242496.1	USA: Iowa	feces	environmental/other				SAMN07488859	GCA_002319195.1	aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(B)=COMPLETE	2000-10-30
	PDT000242510.1	USA: Minnesota	feces	environmental/other				SAMN07488855	GCA_002319475.1	aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cmlA1=COMPLETE,sul3=COMPLETE,tet(B)=COMPLETE	2001-02-06
	PDT000760549.1	USA	stool	environmental/other				SAMN15147395	GCA_013753055.1	aadA2=COMPLETE,blaEC=PARTIAL,blaTEM-1=COMPLETE,bleO=COMPLETE,dfrA12=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(M)=COMPLETE	2020-05-05
	PDT000228310.1	USA:CA	feces	environmental/other	PDS000035387.1	51		SAMN04279444	GCA_002231925.1	blaEC=COMPLETE	2006-02-21
	PDT000228330.1	USA:CA	feces	environmental/other	PDS000035387.1	51		SAMN04279443	GCA_002232375.1	blaEC=COMPLETE	2006-02-21
E. coli O121:Undetermined	PDT000131116.2	USA	stool	clinical	PDS000034420.1	31		SAMN04885462		blaCMY-2=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT	2015-09
	PDT000248799.1	USA: AK	feces	environmental/other	PDS000007285.3	21		SAMN05439510	GCA_002463585.1	blaEC=COMPLETE	2011-08-15
	PDT000252552.1	USA:AK	feces	environmental/other	PDS000007285.3	21		SAMN05439511	GCA_002540285.1	blaEC=COMPLETE	2011-08-15
	PDT000252551.1	USA:DC	feces	environmental/other	PDS000016626.1	0		SAMN05439406	GCA_002539225.1	blaEC=COMPLETE,tet(B)=COMPLETE	2008-09-12
	PDT000228335.1	USA:CA	feces	environmental/other				SAMN04279408	GCA_002232475.1	blaEC=COMPLETE,cyaA_S352T=POINT	2004-02-18
	PDT000228346.1	USA:CA	feces	environmental/other				SAMN04279379	GCA_002232695.1	blaEC=COMPLETE	2003-06-06
	PDT000252592.1	USA:PA	feces	clinical	PDS000016622.1	2	28	SAMN05439451	GCA_002542555.1	blaEC=COMPLETE	2010-03-12
	PDT000252597.1	USA:PA	feces	clinical	PDS000016622.1	2	28	SAMN05439452	GCA_002542855.1	blaEC=COMPLETE	2010-03-12
	PDT000252505.1	USA:AK	feces	environmental/other	PDS000016623.1	6		SAMN04902851	GCA_002537155.1	blaEC=COMPLETE	2012-09-12
E. coli O91:H14	PDT000025748.1	USA	stool	clinical				SAMN02352909	GCA_000617425.1	blaEC=COMPLETE	2006-08
E. coli O32:H45	PDT000051834.3	USA	stool	clinical				SAMN03407232	GCA_012822615.1	blaEC=COMPLETE	2015-02
E. coli O55:H12	PDT000063173.3	USA	stool	clinical				SAMN03569141	GCA_012819435.1	blaEC=COMPLETE	2013-05
E. coli O153:H8	PDT000063280.3	USA	stool	clinical				SAMN03569523	GCA_012818575.1	blaEC=COMPLETE	2010-07
E. coli O6:H34	PDT000065236.3	USA	stool	clinical				SAMN03702606	GCA_012815785.1	blaEC=COMPLETE	2015-04
E. coli O111:Pending	PDT000083137.2	USA	stool	clinical				SAMN04075666	GCA_012801815.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2015-08
E. coli O86:Pending	PDT000084074.3	USA	stool	clinical				SAMN03854667	GCA_012792715.1	blaEC=COMPLETE	2014-04
E. coli O146:H21	PDT000085590.3	USA	stool	clinical				SAMN04116072	GCA_012783515.1	blaEC=COMPLETE	2015-09
E. coli O121:Pending	PDT000085636.2	USA	stool	clinical				SAMN03218527	GCA_012781735.1	blaEC=COMPLETE,marR_S3N=POINT	2014-11
E. coli O61:H16	PDT000096855.3	USA	stool	clinical				SAMN04229538	GCA_012771535.1	blaEC=COMPLETE,gyrA_S83L=POINT	2015-10
E. coli O77:H45	PDT000098725.3	USA	stool	clinical				SAMN04254314		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2015-10
E. coli O80:H42	PDT000098735.3	USA	stool	clinical				SAMN04195688	GCA_012765215.1	blaEC=COMPLETE	2015-09
E. coli O80:H42	PDT000102824.3	USA	stool	clinical				SAMN04383690	GCA_012731775.1	blaEC=COMPLETE	2015-12
E. coli OUND:NM	PDT000107471.3	USA	stool	clinical				SAMN04495686	GCA_012722875.1	blaEC=COMPLETE	2016-01
E. coli O183:H25	PDT000107486.2	USA	stool	clinical				SAMN04495816	GCA_012723315.1	blaEC=COMPLETE	2016-01
E. coli O113:NM	PDT000113660.3	USA	stool	clinical				SAMN04543178	GCA_012762815.1	blaEC=COMPLETE	2016-02
E. coli O103:Undetermined	PDT000131127.2	USA	stool	clinical				SAMN04544761		blaEC=COMPLETE,cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT	2015-03
E. coli O148:H8	PDT000135922.3	USA	stool	clinical				SAMN05283783	GCA_012894095.1	blaEC=COMPLETE	2016-05
E. coli O80:NM	PDT000137674.3	USA	stool	clinical				SAMN05357724	GCA_012893535.1	blaEC=COMPLETE	2016-06
E. coli O174:H21	PDT000151508.3	USA	stool	clinical				SAMN04913831	GCA_012581815.1	blaEC=COMPLETE	2014-12
	PDT000228305.1	USA:TX	feces	environmental/other	PDS000049026.3	0		SAMN04279510	GCA_002231825.1	blaEC=COMPLETE,cyaA_S352T=POINT	2008-01-24
	PDT000248784.1	USA: PA	feces	environmental/other				SAMN04902887	GCA_002463305.1	blaEC=COMPLETE,cyaA_S352T=POINT	2013-12-16
	PDT000250076.1	USA: WA	feces	clinical				SAMN04279339	GCA_002475625.1	blaEC=COMPLETE,cyaA_S352T=POINT	2001-09-05
	PDT000251698.1	USA: CA	feces	environmental/other				SAMN04279484	GCA_002516665.1	blaEC=COMPLETE,fos=HMM,tet(B)=COMPLETE	2007-06-08
	PDT000251744.1	USA: CO	feces	clinical				SAMN06555264	GCA_002517585.1	blaEC=COMPLETE,tet(B)=COMPLETE	2003-10-17
	PDT000252544.1	USA:AL	feces	environmental/other				SAMN05439402	GCA_002538955.1	blaCTX-M-1=COMPLETE,blaEC=COMPLETE,mph(A)=COMPLETE,tet(B)=COMPLETE	2008-12-10
	PDT000252550.1	USA:AK	feces	environmental/other				SAMN05439390	GCA_002539495.1	blaEC=COMPLETE,marR_S3N=POINT	2008-07-30
	PDT000252581.1	USA:CO	feces	environmental/other				SAMN05439472	GCA_002542025.1	blaEC=COMPLETE	2010-06-04
	PDT000252589.1	USA:PA	feces	environmental/other				SAMN05439444	GCA_002542435.1	blaEC=COMPLETE,marR_S3N=POINT	2010-03-31
	PDT000252595.1	USA:PA	feces	clinical				SAMN05439454	GCA_002542825.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2010-03-12
	PDT000252602.1	USA:PA	feces	clinical				SAMN05439457	GCA_002543065.1	blaEC=COMPLETE,ptsI_V25I=POINT,uhpT_E350Q=POINT	2010-03-12
	PDT000252676.1	USA:MA	feces	clinical				SAMN06240049	GCA_002546965.1	blaEC=COMPLETE,blaTEM-1=COMPLETE	2013-12-13
	PDT000252680.1	USA:MA	feces	environmental/other				SAMN06240050	GCA_002547155.1	blaEC=COMPLETE,tet(B)=COMPLETE	2011-06-09
	PDT000673201.1	USA: St Louis	stool	clinical	PDS000056074.1	17		SAMN11335396	GCA_012587615.1	aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84G=POINT,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE	2017/2018
	PDT000673170.1	USA: St Louis	stool	clinical	PDS000056065.2	0		SAMN11335370	GCA_012645505.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673229.1	USA: St Louis	stool	clinical	PDS000056065.2	4		SAMN11335365	GCA_012645085.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000248787.1	USA: OK	feces	environmental/other	PDS000006439.3	3		SAMN04902882	GCA_002463355.1	blaEC=COMPLETE	2013-10-17
	PDT000252475.1	USA:NJ	feces	environmental/other	PDS000006439.3	3		SAMN04902883	GCA_002535765.1	blaEC=COMPLETE	2013-10-23
	PDT000252453.1	USA:MA	feces	clinical	PDS000016624.1	9		SAMN04902859	GCA_002535255.1	blaEC=COMPLETE	2013-12-13
	PDT000252503.1	USA:MA	feces	clinical	PDS000016624.1	9		SAMN04902858	GCA_002537035.1	blaEC=COMPLETE	2013-12-13
E. coli O119:H25	PDT000040377.3	USA	stool	clinical				SAMN02991203	GCA_012702135.1	blaEC=COMPLETE	2007-07
E. coli O177:H2	PDT000040381.4	USA	stool	clinical				SAMN02991211	GCA_012702955.1	blaEC=COMPLETE	2008-06
E. coli O113:H21	PDT000040443.4	USA	stool	clinical				SAMN02991261	GCA_012698505.1	blaEC=COMPLETE	2013-08
E. coli O91:H14	PDT000040446.4	USA	stool	clinical				SAMN02991256		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE	2013-10
E. coli O145:H34	PDT000040696.2	USA	stool	clinical				SAMN03098241	GCA_012830955.1	blaEC=COMPLETE	2009-07
E. coli O111:NM	PDT000044718.3	USA	stool	clinical				SAMN03247175		blaEC=COMPLETE	2014-09
E. coli O111:Pending	PDT000047183.3	USA	stool	clinical				SAMN03278341		blaEC=COMPLETE	2014-12
E. coli O76:H19	PDT000047184.3	USA	stool	clinical				SAMN03278339	GCA_012827955.1	blaEC=COMPLETE	2014-11
E. coli O145:Pending	PDT000047527.3	USA	stool	clinical				SAMN03272829		blaEC=MISTRANSLATION	2014-09
E. coli O111:NM	PDT000050478.3	USA	stool	clinical				SAMN03379935		blaEC=COMPLETE	2014-08
